# generated_at=2026-08-14T10:32:23.847782+00:00
date,arm,value
2022-01-03,buy_hold,1.0
2022-01-04,buy_hold,0.999550513840237
2022-01-05,buy_hold,0.9791587760771296
2022-01-06,buy_hold,0.9796931776399316
2022-01-07,buy_hold,0.9693149110595248
2022-01-10,buy_hold,0.9642837255285336
2022-01-11,buy_hold,0.9726040310284285
2022-01-12,buy_hold,0.9769564847504321
2022-01-13,buy_hold,0.9634588354342316
2022-01-14,buy_hold,0.9581384683940993
2022-01-18,buy_hold,0.938296930389205
2022-01-19,buy_hold,0.930484610365525
2022-01-20,buy_hold,0.9204387638061751
2022-01-21,buy_hold,0.9085918956621307
2022-01-24,buy_hold,0.9132167000764472
2022-01-25,buy_hold,0.8979825576420715
2022-01-26,buy_hold,0.8933613611542588
2022-01-27,buy_hold,0.887942945981228
2022-01-28,buy_hold,0.9054600454894904
2022-01-31,buy_hold,0.9251754933153069
2022-02-01,buy_hold,0.9316504481735386
2022-02-02,buy_hold,0.9450981820955999
2022-02-03,buy_hold,0.9284579573830759
2022-02-04,buy_hold,0.9258739393086972
2022-02-07,buy_hold,0.9251296399382831
2022-02-08,buy_hold,0.9312151599893986
2022-02-09,buy_hold,0.9476674589584116
2022-02-10,buy_hold,0.9281877828990466
2022-02-11,buy_hold,0.9079783863374631
2022-02-14,buy_hold,0.9010694683455176
2022-02-15,buy_hold,0.9139629653497189
2022-02-16,buy_hold,0.9148227223653722
2022-02-17,buy_hold,0.8973006352161275
2022-02-18,buy_hold,0.8939659869921557
2022-02-22,buy_hold,0.8850778849585433
2022-02-23,buy_hold,0.8714015875098524
2022-02-24,buy_hold,0.884035955701734
2022-02-25,buy_hold,0.9077031691848522
2022-02-28,buy_hold,0.9006214959632932
2022-03-01,buy_hold,0.8890544531152742
2022-03-02,buy_hold,0.9083070282754651
2022-03-03,buy_hold,0.9075358458475942
2022-03-04,buy_hold,0.9042073177323593
2022-03-07,buy_hold,0.8783627063627151
2022-03-08,buy_hold,0.8688656726425232
2022-03-09,buy_hold,0.8892874227826438
2022-03-10,buy_hold,0.8860853028846826
2022-03-11,buy_hold,0.8750392286481068
2022-03-14,buy_hold,0.8682507181359683
2022-03-15,buy_hold,0.8848938689405121
2022-03-16,buy_hold,0.9049389897469603
2022-03-17,buy_hold,0.9176262672575551
2022-03-18,buy_hold,0.928403915574347
2022-03-21,buy_hold,0.9256562471433041
2022-03-22,buy_hold,0.9319498807659402
2022-03-23,buy_hold,0.9194744475502133
2022-03-24,buy_hold,0.9317109203672721
2022-03-25,buy_hold,0.9359836438796925
2022-03-28,buy_hold,0.9412151904444035
2022-03-29,buy_hold,0.9555615838364678
2022-03-30,buy_hold,0.9503061691030821
2022-03-31,buy_hold,0.9455523321330054
2022-04-01,buy_hold,0.951190965163713
2022-04-04,buy_hold,0.9505639493381898
2022-04-05,buy_hold,0.9447409719954586
2022-04-06,buy_hold,0.9483752368761398
2022-04-07,buy_hold,0.9578898564107481
2022-04-08,buy_hold,0.9604686944931854
2022-04-11,buy_hold,0.9459743705285699
2022-04-12,buy_hold,0.9441632569976036
2022-04-13,buy_hold,0.9521201187159584
2022-04-14,buy_hold,0.9478816099763386
2022-04-18,buy_hold,0.9480849666513144
2022-04-19,buy_hold,0.9561295902425078
2022-04-20,buy_hold,0.9644354292518293
2022-04-21,buy_hold,0.9480806848628824
2022-04-22,buy_hold,0.9189406384943883
2022-04-25,buy_hold,0.9193548928505011
2022-04-26,buy_hold,0.9034500335014393
2022-04-27,buy_hold,0.907241441586911
2022-04-28,buy_hold,0.9228447094370764
2022-04-29,buy_hold,0.892304996163225
2022-05-02,buy_hold,0.8901595184613198
2022-05-03,buy_hold,0.8973911668143553
2022-05-04,buy_hold,0.920037024784575
2022-05-05,buy_hold,0.8951995213764442
2022-05-06,buy_hold,0.8939443169543004
2022-05-09,buy_hold,0.8648983340413516
2022-05-10,buy_hold,0.8662191273588704
2022-05-11,buy_hold,0.8584816666568325
2022-05-12,buy_hold,0.8551401792438075
2022-05-13,buy_hold,0.8728001846779103
2022-05-16,buy_hold,0.8724785337511601
2022-05-17,buy_hold,0.8823714325162677
2022-05-18,buy_hold,0.8464473946626169
2022-05-19,buy_hold,0.8444273478919413
2022-05-20,buy_hold,0.8435130913925409
2022-05-23,buy_hold,0.8585063632906124
2022-05-24,buy_hold,0.8604385185985799
2022-05-25,buy_hold,0.8658732659403657
2022-05-26,buy_hold,0.8831267671245964
2022-05-27,buy_hold,0.9029141062110025
2022-05-31,buy_hold,0.8927361012250282
2022-06-01,buy_hold,0.8862118786058135
2022-06-02,buy_hold,0.8994654082836305
